section_id,course_id,instructor_id,location,capacity,term,start_time,end_time,days,start_date,end_date
1,1,1,ECSW 1.315,100,Fall 2025,09:00:00,10:15:00,MW,2025-08-25,2025-12-05
2,2,1,ECSS 2.415,80,Fall 2025,10:30:00,11:45:00,TR,2025-08-25,2025-12-05
3,3,3,ECSN 2.120,60,Spring 2026,14:00:00,15:15:00,MWF,2026-01-13,2026-05-01
4,1,2,ECSN 1.301,95,Spring 2026,12:30:00,13:45:00,MW,2026-01-13,2026-05-01
5,2,2,ECSN 1.210,85,Spring 2026,14:00:00,15:15:00,TR,2026-01-13,2026-05-01
6,3,3,ECSW 2.215,60,Fall 2025,10:00:00,11:15:00,MW,2025-08-25,2025-12-05
7,4,4,ECSS 3.420,90,Fall 2025,13:00:00,14:15:00,TR,2025-08-25,2025-12-05
8,5,5,ECSN 1.212,70,Spring 2026,09:30:00,10:45:00,MWF,2026-01-13,2026-05-01
9,6,6,ECSW 1.318,50,Spring 2026,11:00:00,12:15:00,MW,2026-01-13,2026-05-01
10,4,4,ECSW 2.111,80,Spring 2026,15:00:00,16:15:00,TR,2026-01-13,2026-05-01
11,5,5,ECSS 2.210,65,Fall 2025,16:00:00,17:15:00,MW,2025-08-25,2025-12-05
12,7,7,ECSN 2.100,60,Fall 2025,09:00:00,10:15:00,TR,2025-08-25,2025-12-05
13,7,7,ECSW 1.210,75,Spring 2026,13:00:00,14:15:00,MW,2026-01-13,2026-05-01
14,8,8,ECSN 2.210,60,Spring 2026,12:30:00,13:45:00,MW,2026-01-13,2026-05-01
15,8,8,ECSW 3.120,50,Fall 2025,11:00:00,12:15:00,TR,2025-08-25,2025-12-05
16,9,9,ECSW 1.222,90,Fall 2025,13:30:00,14:45:00,MW,2025-08-25,2025-12-05
17,10,10,ECSS 2.300,55,Spring 2026,08:30:00,09:45:00,TR,2026-01-13,2026-05-01
18,11,11,ECSW 3.300,45,Fall 2025,12:00:00,13:15:00,MW,2025-08-25,2025-12-05
19,12,12,ECSN 1.202,60,Spring 2026,10:30:00,11:45:00,TR,2026-01-13,2026-05-01
20,12,12,ECSN 1.202,58,Fall 2025,16:00:00,17:15:00,MW,2025-08-25,2025-12-05
21,13,13,ECSN 1.100,80,Fall 2025,14:00:00,15:15:00,TR,2025-08-25,2025-12-05
22,14,14,ECSW 2.102,85,Spring 2026,13:30:00,14:45:00,MW,2026-01-13,2026-05-01
23,15,15,ECSW 3.103,60,Fall 2025,08:30:00,09:45:00,TR,2025-08-25,2025-12-05
24,16,16,ECSS 2.111,40,Spring 2026,09:00:00,10:15:00,F,2026-01-13,2026-05-01
25,17,17,ECSN 1.215,50,Fall 2025,12:00:00,13:15:00,TR,2025-08-25,2025-12-05
26,18,18,ECSW 1.211,75,Spring 2026,10:30:00,11:45:00,MW,2026-01-13,2026-05-01
27,19,19,ECSS 3.210,55,Fall 2025,14:00:00,15:15:00,MWF,2025-08-25,2025-12-05
28,20,20,ECSN 2.201,60,Spring 2026,15:00:00,16:15:00,TR,2026-01-13,2026-05-01
29,21,21,ECSW 1.319,65,Fall 2025,09:30:00,10:45:00,MW,2025-08-25,2025-12-05
30,22,22,ECSS 2.312,58,Spring 2026,08:00:00,09:15:00,TR,2026-01-13,2026-05-01
31,23,23,ECSN 3.001,45,Fall 2025,11:00:00,12:15:00,MW,2025-08-25,2025-12-05
32,24,24,ECSW 2.208,70,Spring 2026,16:00:00,17:15:00,MWF,2026-01-13,2026-05-01
33,25,25,ECSN 1.312,60,Fall 2025,10:30:00,11:45:00,TR,2025-08-25,2025-12-05
34,26,26,ECSW 3.201,85,Spring 2026,13:00:00,14:15:00,MW,2026-01-13,2026-05-01
35,27,27,ECSS 3.313,66,Fall 2025,14:30:00,15:45:00,TR,2025-08-25,2025-12-05
36,28,28,ECSW 1.107,55,Spring 2026,11:00:00,12:15:00,MW,2026-01-13,2026-05-01
37,29,29,ECSS 1.204,50,Fall 2025,09:30:00,10:45:00,MW,2025-08-25,2025-12-05
38,30,30,ECSN 2.203,60,Spring 2026,15:00:00,16:15:00,MW,2026-01-13,2026-05-01
39,14,14,ECSN 2.210,45,Fall 2025,17:00:00,18:15:00,TR,2025-08-25,2025-12-05
40,6,6,ECSW 1.318,50,Fall 2025,11:00:00,12:15:00,MW,2025-08-25,2025-12-05
41,11,11,ECSW 2.319,75,Spring 2026,08:00:00,09:15:00,TR,2026-01-13,2026-05-01
42,19,19,ECSN 2.205,65,Spring 2026,16:00:00,17:15:00,MW,2026-01-13,2026-05-01
43,20,20,ECSN 1.304,70,Fall 2025,12:30:00,13:45:00,TR,2025-08-25,2025-12-05
44,23,23,ECSN 3.210,40,Spring 2026,10:00:00,11:15:00,MWF,2026-01-13,2026-05-01
45,25,25,ECSW 2.321,55,Spring 2026,08:30:00,09:45:00,MW,2026-01-13,2026-05-01
